experiment,epoch,configuration,val_accuracy,train_accuracy
configuration_3x3_3x3,173,"conv3x3,conv3x3",0.9868,0.9929166666666667
configuration_3x3_3x3,174,"conv3x3,conv3x3",0.9866,0.9929833333333333
configuration_3x3_3x3,175,"conv3x3,conv3x3",0.9862,0.993
configuration_3x3_3x3,176,"conv3x3,conv3x3",0.9868,0.9929666666666667
configuration_3x3_3x3,177,"conv3x3,conv3x3",0.9868,0.9930666666666667
configuration_3x3_3x3,178,"conv3x3,conv3x3",0.9864,0.9931166666666666
configuration_3x3_3x3,179,"conv3x3,conv3x3",0.9863,0.9930666666666667
configuration_3x3_3x3,180,"conv3x3,conv3x3",0.9868,0.9932666666666666
configuration_3x3_3x3,181,"conv3x3,conv3x3",0.9874,0.9932333333333333
configuration_3x3_3x3,182,"conv3x3,conv3x3",0.986,0.9932
configuration_3x3_3x3,183,"conv3x3,conv3x3",0.987,0.9933166666666666
configuration_3x3_3x3,184,"conv3x3,conv3x3",0.9869,0.9933833333333333
configuration_3x3_3x3,185,"conv3x3,conv3x3",0.9871,0.9933
configuration_3x3_3x3,186,"conv3x3,conv3x3",0.987,0.9932833333333333
configuration_3x3_3x3,187,"conv3x3,conv3x3",0.9873,0.99345
configuration_3x3_3x3,188,"conv3x3,conv3x3",0.987,0.9934333333333333
configuration_3x3_3x3,189,"conv3x3,conv3x3",0.9872,0.9934166666666666
configuration_3x3_3x3,190,"conv3x3,conv3x3",0.9864,0.9934333333333333
configuration_3x3_3x3,191,"conv3x3,conv3x3",0.9865,0.9936
configuration_3x3_3x3,192,"conv3x3,conv3x3",0.9872,0.9935833333333334
configuration_3x3_3x3,193,"conv3x3,conv3x3",0.9867,0.9936
configuration_3x3_3x3,194,"conv3x3,conv3x3",0.9866,0.9937
configuration_3x3_3x3,195,"conv3x3,conv3x3",0.9867,0.9937333333333334
configuration_3x3_3x3,196,"conv3x3,conv3x3",0.9863,0.9938166666666667
configuration_3x3_3x3,197,"conv3x3,conv3x3",0.9869,0.9938166666666667
configuration_3x3_3x3,198,"conv3x3,conv3x3",0.9862,0.9938
configuration_3x3_3x3,199,"conv3x3,conv3x3",0.9872,0.9938666666666667
configuration_3x3_3x3,200,"conv3x3,conv3x3",0.9866,0.9938
configuration_3x3_3x3,201,"conv3x3,conv3x3",0.9866,0.99395
configuration_3x3_3x3,202,"conv3x3,conv3x3",0.9862,0.9939166666666667
configuration_3x3_3x3,203,"conv3x3,conv3x3",0.9868,0.9940833333333333
configuration_3x3_3x3,204,"conv3x3,conv3x3",0.9872,0.9939333333333333
configuration_3x3_3x3,205,"conv3x3,conv3x3",0.9867,0.9941166666666666
configuration_3x3_3x3,206,"conv3x3,conv3x3",0.9866,0.9941
configuration_3x3_3x3,207,"conv3x3,conv3x3",0.9867,0.9941333333333333
configuration_3x3_3x3,208,"conv3x3,conv3x3",0.9871,0.99425
configuration_3x3_3x3,209,"conv3x3,conv3x3",0.9865,0.9942
configuration_3x3_3x3,210,"conv3x3,conv3x3",0.9866,0.9942166666666666
configuration_3x3_3x3,211,"conv3x3,conv3x3",0.9866,0.9942333333333333
configuration_3x3_3x3,212,"conv3x3,conv3x3",0.987,0.9942
configuration_3x3_3x3,213,"conv3x3,conv3x3",0.9866,0.9943
configuration_3x3_3x3,214,"conv3x3,conv3x3",0.9869,0.9943166666666666
configuration_3x3_3x3,215,"conv3x3,conv3x3",0.9866,0.9942833333333333
configuration_3x3_3x3,216,"conv3x3,conv3x3",0.9865,0.9943833333333333
configuration_3x3_3x3,217,"conv3x3,conv3x3",0.9866,0.9943833333333333
configuration_3x3_3x3,218,"conv3x3,conv3x3",0.9864,0.9943333333333333
configuration_3x3_3x3,219,"conv3x3,conv3x3",0.9864,0.9943833333333333
configuration_3x3_3x3,220,"conv3x3,conv3x3",0.9866,0.9943
configuration_3x3_3x3,221,"conv3x3,conv3x3",0.9869,0.9944
configuration_3x3_3x3,222,"conv3x3,conv3x3",0.9868,0.9944166666666666
configuration_3x3_3x3,223,"conv3x3,conv3x3",0.9865,0.9944666666666667
configuration_3x3_3x3,224,"conv3x3,conv3x3",0.9868,0.9944166666666666
configuration_3x3_3x3,225,"conv3x3,conv3x3",0.9866,0.9944833333333334
configuration_3x3_3x3,226,"conv3x3,conv3x3",0.9864,0.9944833333333334
configuration_3x3_3x3,227,"conv3x3,conv3x3",0.987,0.9945166666666667
configuration_3x3_3x3,228,"conv3x3,conv3x3",0.987,0.99455
configuration_3x3_3x3,229,"conv3x3,conv3x3",0.9865,0.99455
configuration_3x3_3x3,230,"conv3x3,conv3x3",0.9867,0.9945666666666667
configuration_3x3_3x3,231,"conv3x3,conv3x3",0.9872,0.9945833333333334
configuration_3x3_3x3,232,"conv3x3,conv3x3",0.9874,0.9945666666666667
configuration_3x3_3x3,233,"conv3x3,conv3x3",0.9864,0.9945833333333334
configuration_3x3_3x3,234,"conv3x3,conv3x3",0.9869,0.9945666666666667
configuration_3x3_3x3,235,"conv3x3,conv3x3",0.9869,0.9946
configuration_3x3_3x3,236,"conv3x3,conv3x3",0.987,0.9946333333333334
configuration_3x3_3x3,237,"conv3x3,conv3x3",0.9863,0.9946333333333334
configuration_3x3_3x3,238,"conv3x3,conv3x3",0.9872,0.99465
configuration_3x3_3x3,239,"conv3x3,conv3x3",0.9873,0.9947
configuration_3x3_3x3,240,"conv3x3,conv3x3",0.9868,0.99465
configuration_3x3_3x3,241,"conv3x3,conv3x3",0.9865,0.9946333333333334
configuration_3x3_3x3,242,"conv3x3,conv3x3",0.9868,0.9946666666666667
